名前,ふりがな,アドレス,性別,年齢,誕生日,婚姻,血液型,都道府県,都道府県コード,電話番号,携帯,キャリア,カレーの食べ方
石田 有起哉,いしだ ゆきや,ishida_yukiya@example.com,男,61,1958/9/1,既婚,A型,東京都,13,0 1-361-1926,090-3717-5212,ドコモ,ぶっかけ・混ぜ混ぜ派
大後 優,おおご ゆう,oogo_yuu@example.com,女,83,1936/10/16,既婚,B型,神奈川県,14,047-870-6348,090-7489-2911,ドコモ,ぶっかけ・せき止め派
那須 翔太,なす しょうた,nasu_shouta@example.com,男,77,1943/2/8,既婚,AB型,東京都,13,089-460-6881,090-3115-4976,ドコモ,ぶっかけ・せき止め派
平良 郁恵,ひらら いくえ,hirara_ikue@example.com,女,33,1986/9/1,未婚,O型,東京都,13,059-503-9901,080-3495-7118,au,ぶっかけ・せき止め派
貫地谷 隆博,かんじや たかひろ,kanjiya_takahiro@example.com,男,28,1991/11/3,既婚,A型,福岡県,40,093-263-6326,090-5709-5374,au,左ルー・ルー攻め派
小泉 夏空,こいずみ そら,koizumi_sora@example.com,女,77,1942/9/2,既婚,O型,香川県,37,081-819-4352,080-4470-7514,ソフトバンク,奥ルー・別口派
向井 隼士,むらい しゅんじ,murai_shunji@example.com,男,81,1938/9/24,既婚,O型,岐阜県,21,038-267-5798,080-5078-7780,ソフトバンク,左ルー・別口派
細川 薫,ほそかわ かおる,hosokawa_kaoru@example.com,女,62,1958/1/18,既婚,A型,大分県,44,025- 66-9847,080-1146-6763,ドコモ,右ルー・せき止め派
馬場 敦,ばば あつし,baba_atsushi@example.com,男,60,1959/9/9,既婚,A型,東京都,13,0 6-213-5883,090-3113-3750,au,右ルー・混ぜ混ぜ派
吹石 知世,ふきいし ちせ,fukiishi_chise@example.com,女,33,1986/12/22,既婚,O型,千葉県,12,099-345-7175,080-5380-4057,ソフトバンク,左ルー・ルー攻め派
江崎 愛梨,えざき あいり,ezaki_airi@example.com,女,13,2007/1/26,未婚,O型,兵庫県,28,056-326-7321,090-6582-4739,ドコモ,手前ルー・せき止め派
吉川 妃里,きっかわ ゆり,kikkawa_yuri@example.com,女,10,2009/11/27,未婚,O型,神奈川県,14,025-310-4190,080-7471-7709,ドコモ,ぶっかけ・ルー攻め派
中塚 翔太,なかづか しょうた,nakaduka_shouta@example.com,男,37,1982/5/3,既婚,AB型,愛知県,23,0 8-247-7278,090-7448-5028,ドコモ,ぶっかけ・ルー攻め派
鹿手袋 季衣,しかてぶくろ としえ,shikatebukuro_toshie@example.com,女,23,1996/10/10,未婚,A型,京都府,26,055-855-6705,080- 313-3251,au,ぶっかけ・別口派
高木 ノブヒコ,たかぎ のぶひこ,takagi_nobuhiko@example.com,男,31,1988/3/27,未婚,O型,北海道,01,088-246-1530,080- 476-1441,au,左ルー・せき止め派
牧田 充則,まきた みつのり,makita_mitsunori@example.com,男,75,1944/11/7,既婚,A型,埼玉県,11,055-627-8224,080-3661-2665,ドコモ,奥ルー・ルー攻め派
大後 さやか,おおご さやか,oogo_sayaka@example.com,女,10,2009/11/26,未婚,A型,愛知県,23,043-167-9869,090-5921-9114,ドコモ,右ルー・せき止め派
荻原 誠治,はぎわら せいじ,hagiwara_seiji@example.com,男,19,2000/11/17,未婚,AB型,東京都,13,038-337-9496,090-4441- 907,ドコモ,左ルー・混ぜ混ぜ派
古田 誠治,ふるた せいじ,furuta_seiji@example.com,男,23,1996/11/1,未婚,A型,埼玉県,11,0  -331-7233,080-7601-4461,ドコモ,ぶっかけ・ナン派
阿井 りえ,あい りえ,ai_rie@example.com,女,13,2007/1/7,未婚,O型,静岡県,22,067-645-8254,090-6755-1422,ドコモ,手前ルー・ルー攻め派
布川 敦,ふかわ あつし,fukawa_atsushi@example.com,男,45,1974/6/13,既婚,O型,茨城県,08,092- 96- 583,080-  49-8162,ソフトバンク,ぶっかけ・せき止め派
役所 俊二,やくしょ しゅんじ,yakusho_shunji@example.com,男,32,1987/11/29,既婚,B型,神奈川県,14,096-529-6156,080-1717-1838,ドコモ,左ルー・せき止め派
神木 美月,かみき みづき,kamiki_miduki@example.com,女,47,1972/6/25,既婚,B型,静岡県,22,0  -919-3055,090-3643-3128,au,左ルー・ナン派
上村 新太,うえむら あらた,uemura_arata@example.com,男,78,1941/12/10,既婚,O型,茨城県,08,065-605-8327,080- 270-3451,ドコモ,右ルー・ルー攻め派
金沢 明慶,かねざわ あきよし,kanezawa_akiyoshi@example.com,男,78,1941/5/9,既婚,O型,長野県,20,087-563-4485,080-2033-4934,ドコモ,ぶっかけ・せき止め派
瀬尾 竜也,せお たつや,seo_tatsuya@example.com,男,37,1982/2/20,既婚,O型,千葉県,12,055-483-6448,080-2361-3489,au,左ルー・ルー攻め派
神田 美里,かんだ みり,kannda_miri@example.com,女,62,1957/8/9,既婚,O型,北海道,01,067-568-  30,080-7651-8580,ドコモ,手前ルー・混ぜ混ぜ派
沢田 亮介,さわだ りょうすけ,sawada_ryousuke@example.com,男,19,2000/9/16,未婚,B型,大阪府,27,020-438-6130,080-5918-7207,ドコモ,手前ルー・別口派
菊田 聡,きくた さとし,kikuta_satoshi@example.com,男,48,1971/6/18,既婚,AB型,京都府,26,090-141-8482,090-1733-2492,ドコモ,左ルー・ルー攻め派
日野 まひる,ひの まひる,hino_mahiru@example.com,女,68,1952/2/7,既婚,A型,千葉県,12,052-210-7079,080-7877-1275,ドコモ,右ルー・別口派
片平 宏,かたひら ひろし,katahira_hiroshi@example.com,男,34,1985/2/20,既婚,O型,兵庫県,28,020-215-2185,090-3853-6489,ドコモ,左ルー・せき止め派
黄川田 雅彦,きかわだ まさひこ,kikawada_masahiko@example.com,男,59,1960/4/19,既婚,A型,東京都,13,034-120-2847,090-8547-5577,au,左ルー・ルー攻め派
影山 サンタマリア,かげやま さんたまりあ,kageyama_stmaria@example.com,男,15,2004/11/12,未婚,B型,秋田県,05,034-487-1573,090-5827-3013,ソフトバンク,手前ルー・ルー攻め派
中原 京子,なかはら きょうこ,nakahara_kyouko@example.com,女,52,1967/5/17,既婚,O型,石川県,17,031- 92-5857,090-4476-6017,ドコモ,ぶっかけ・別口派
丸田 雅彦,まるた まさひこ,maruta_masahiko@example.com,男,46,1974/1/12,既婚,O型,岡山県,33,027-862-5236,090-6742-1455,ドコモ,奥ルー・ルー攻め派
土居 亮介,どい りょうすけ,doi_ryousuke@example.com,男,52,1967/4/5,既婚,A型,東京都,13,036- 85-4958,080-6935-5603,ドコモ,左ルー・ルー攻め派
本多 染五郎,ほんだ そめごろう,honnda_somegorou@example.com,男,77,1942/8/15,既婚,B型,東京都,13,088-599-3856,080-6629-8746,ドコモ,ぶっかけ・混ぜ混ぜ派
唐沢 耕司,からさわ こうじ,karasawa_kouji@example.com,男,34,1985/6/7,既婚,A型,東京都,13,056-675-5292,090-5284-3815,au,左ルー・せき止め派
杉本 彩,すぎもと あや,sugimoto_aya@example.com,女,75,1945/1/16,既婚,AB型,福井県,18,015-313-3201,080-4103-8092,au,ぶっかけ・せき止め派
大木 くるみ,おおき くるみ,ooki_kurumi@example.com,女,12,2008/2/15,未婚,B型,徳島県,36,074-101-8857,080-6725-3933,au,ぶっかけ・混ぜ混ぜ派
沖 たまき,おき たまき,oki_tamaki@example.com,女,38,1981/12/18,既婚,AB型,京都府,26,084-321-8551,090-    -9217,ドコモ,ぶっかけ・別口派
板橋 和久,いたばし かずひさ,itabashi_kazuhisa@example.com,男,70,1950/1/1,既婚,B型,和歌山県,30,034-908-4238,090-  34-8806,au,ぶっかけ・ルー攻め派
高島 明宏,たかしま あきひろ,takashima_akihiro@example.com,男,73,1946/7/9,既婚,B型,福岡県,40,075-551-8489,080-7824-2224,ドコモ,ぶっかけ・せき止め派
結城 あき,ゆうき あき,yuuki_aki@example.com,女,39,1980/6/13,既婚,A型,山口県,35,022-102-4272,090-7643-7258,au,右ルー・ルー攻め派
木村 麗奈,きむら れな,kimura_rena@example.com,女,40,1980/1/3,既婚,O型,新潟県,15,0  -591-2093,090-9983-7216,ソフトバンク,手前ルー・別口派
石丸 れいな,いしまる れいな,ishimaru_reina@example.com,女,60,1960/2/14,既婚,O型,静岡県,22,039- 58-2949,090-7786-5802,ソフトバンク,ぶっかけ・せき止め派
岩田 瞬,いわた しゅん,iwata_shun@example.com,男,38,1981/11/2,既婚,A型,北海道,01,076-365-4408,080-9871-5815,ドコモ,奥ルー・ルー攻め派
川辺 哲平,かわべ てっぺい,kawabe_teppei@example.com,男,19,2000/4/6,未婚,B型,千葉県,12,066-295-6035,090-8674-2564,ドコモ,左ルー・ルー攻め派
飯塚 有起哉,いいづか ゆきや,iiduka_yukiya@example.com,男,41,1979/1/30,既婚,A型,広島県,34,044-105-9909,090-6441-9418,ドコモ,左ルー・別口派
豊田 芳正,とよた よしまさ,toyota_yoshimasa@example.com,男,15,2004/9/10,未婚,O型,富山県,16,0 3-154-4834,080-9167-9136,ドコモ,左ルー・ルー攻め派
白鳥 薫,しらとり かおる,shiratori_kaoru@example.com,女,16,2003/3/3,未婚,O型,北海道,01,066-136-5423,080-2855-8714,ドコモ,ぶっかけ・別口派
西原 花,にしはら はな,nishihara_hana@example.com,女,11,2008/9/18,未婚,B型,兵庫県,28,070-944-7252,090-2820-5535,ドコモ,左ルー・別口派
白木 明,しらき あきら,shiraki_akira@example.com,男,18,2002/1/3,未婚,O型,岡山県,33,067-924-3304,080-1611-1222,au,左ルー・ナン派
藤木 健,ふじき けん,fujiki_ken@example.com,男,17,2002/8/7,未婚,O型,栃木県,09,0 8-930-4126,080-3389-5349,ドコモ,奥ルー・混ぜ混ぜ派
吉岡 奈月,よしおか なつき,yoshioka_natsuki@example.com,女,16,2003/5/25,未婚,A型,愛知県,23,077-242-1658,080-5710-6013,ドコモ,ぶっかけ・せき止め派
坂田 由宇,さかた ゆう,sakata_yuu@example.com,女,67,1953/2/9,既婚,AB型,神奈川県,14,038-934- 648,090-7411-5485,ドコモ,左ルー・ルー攻め派
石塚 夏空,いしづか そら,ishiduka_sora@example.com,女,20,2000/2/2,未婚,A型,福岡県,40,022-904-1651,090-1520-6087,ソフトバンク,右ルー・別口派
横尾 咲,よこお さき,yokoo_saki@example.com,女,28,1991/5/19,未婚,O型,千葉県,12,042-886-8921,090-6565-4716,au,左ルー・ルー攻め派
竹田 一恵,たけだ かづえ,takeda_kadue@example.com,女,12,2008/1/7,未婚,A型,福岡県,40,024-263- 894,080-5145- 863,ソフトバンク,左ルー・ルー攻め派
水嶋 礼子,みずしま れいこ,mizushima_reiko@example.com,女,47,1972/6/23,既婚,O型,愛知県,23,032-508-9535,080-8941-2270,ドコモ,左ルー・ルー攻め派
川合 一樹,かわい かずき,kawai_kazuki@example.com,男,13,2006/6/17,未婚,A型,秋田県,05,086-603-5161,080-9642-7047,ドコモ,右ルー・混ぜ混ぜ派
三船 早織,みふね さおり,mifune_saori@example.com,女,77,1942/3/16,既婚,O型,北海道,01,090- 10-2043,090-9352-2043,ソフトバンク,左ルー・ルー攻め派
手塚 広之,てづか ひろゆき,teduka_hiroyuki@example.com,男,58,1961/3/19,既婚,A型,北海道,01,023-322-5616,090- 131-2449,au,ぶっかけ・せき止め派
尾形 裕司,おがた ゆうじ,ogata_yuuji@example.com,男,71,1948/7/3,既婚,B型,東京都,13,018-906-9539,080-9709-8610,ドコモ,左ルー・せき止め派
瀬戸内 優,せとうち ゆう,setouchi_yuu@example.com,女,33,1986/6/18,既婚,B型,福岡県,40,078-654-5420,080-7597-7584,ドコモ,左ルー・混ぜ混ぜ派
小山 一,おやま はじめ,oyama_hajime@example.com,男,79,1940/4/2,既婚,O型,奈良県,29,042-328- 959,080-7465-2658,au,左ルー・せき止め派
堀 美佳,ほり みか,hori_mika@example.com,女,73,1946/3/23,既婚,A型,福岡県,40,016-921- 732,090-7470-8235,ドコモ,手前ルー・せき止め派
若山 えみ,わかやま えみ,wakayama_emi@example.com,女,52,1967/10/4,既婚,O型,大阪府,27,080-522-6966,080- 863- 991,ドコモ,奥ルー・ルー攻め派
村田 理紗,むらた りさ,murata_risa@example.com,女,84,1935/7/22,既婚,O型,兵庫県,28,043-442-2765,090-2468-4656,ソフトバンク,左ルー・ナン派
三谷 未來,みたに みらい,mitani_mirai@example.com,男,22,1997/12/18,未婚,A型,大阪府,27,069-181-2295,080-9969-9722,ドコモ,ぶっかけ・ルー攻め派
根岸 明日,ねぎし めいび,negishi_meibi@example.com,女,53,1966/3/29,既婚,O型,岡山県,33,046-  6-1682,090-1730-8478,au,ぶっかけ・せき止め派
星 基祐,ほし きすけ,hoshi_kisuke@example.com,男,45,1975/1/24,既婚,A型,静岡県,22,047- 61-7467,090-6093-2972,ソフトバンク,左ルー・別口派
前田 雄太,まえだ ゆうた,maeda_yuuta@example.com,男,64,1955/6/3,既婚,A型,富山県,16,097-723-2803,090-2385-2733,ドコモ,左ルー・ルー攻め派
藤森 サダヲ,ふじもり さだお,fujimori_sadawo@example.com,男,81,1938/8/9,既婚,O型,福井県,18,098-800-6120,090- 157-3869,ドコモ,左ルー・せき止め派
佐々木 正義,ささき まさよし,sasaki_masayoshi@example.com,男,28,1991/11/20,既婚,A型,北海道,01,019-879-4217,090-8079-1725,ドコモ,右ルー・混ぜ混ぜ派
牧 早紀,まき さき,maki_saki@example.com,女,74,1945/5/11,既婚,B型,京都府,26,041-125-8627,090-7369-7465,ソフトバンク,ぶっかけ・混ぜ混ぜ派
真矢 結子,まや ゆうこ,maya_yuuko@example.com,女,21,1998/9/2,既婚,O型,東京都,13,041-455-5831,080-3023-2294,ドコモ,ぶっかけ・せき止め派
山口 圭,やまぐち けい,yamaguchi_kei@example.com,男,11,2008/5/6,未婚,AB型,千葉県,12,037-425-1420,080-8378-3104,ドコモ,ぶっかけ・混ぜ混ぜ派
曽我 薫,そが かおる,soga_kaoru@example.com,男,16,2003/7/19,未婚,O型,佐賀県,41,0 3-443-8890,090-4829-9142,ドコモ,手前ルー・ナン派
米倉 さやか,よねくら さやか,yonekura_sayaka@example.com,女,20,2000/1/13,未婚,B型,岩手県,03,0 3- 81-4331,090-8719-3874,ドコモ,ぶっかけ・せき止め派
大山 郁恵,おおやま いくえ,ooyama_ikue@example.com,女,29,1990/11/20,既婚,O型,長崎県,42,093-534-6885,090-2815-2815,au,ぶっかけ・ルー攻め派
橋爪 崇史,はしづめ たかし,hashidume_takashi@example.com,男,58,1961/10/17,既婚,A型,鹿児島県,46,087- 82-3209,090-6973-7682,au,左ルー・せき止め派
正木 遥,まさき はるか,masaki_haruka@example.com,女,18,2002/2/2,未婚,AB型,新潟県,15,087- 99-1829,090-7226-6765,ドコモ,奥ルー・別口派
高畑 友也,たかはた ともや,takahata_tomoya@example.com,男,16,2003/3/14,未婚,B型,奈良県,29,066-702-5373,080-2811-3318,au,右ルー・混ぜ混ぜ派
仲村 高史,なかむら たかし,nakamura_takashi@example.com,男,14,2005/6/15,未婚,A型,福岡県,40,0 5-890-5237,090-5984- 938,au,ぶっかけ・混ぜ混ぜ派
五十嵐 沙耶,いがらし さや,igarashi_saya@example.com,女,50,1969/3/15,既婚,O型,神奈川県,14,012- 64-6669,080-4697-1521,au,左ルー・混ぜ混ぜ派
小堀 三郎,こほり さぶろう,kohori_saburou@example.com,男,21,1999/2/5,未婚,A型,京都府,26,029-934-1876,080-1061-1501,au,ぶっかけ・混ぜ混ぜ派
蛍原 奈央,ほとはら なお,hotohara_nao@example.com,女,36,1983/3/8,既婚,O型,東京都,13,024-187-6014,090-4500- 386,ドコモ,別盛り・せき止め派
川野 美月,かわの みづき,kawano_miduki@example.com,女,50,1970/1/4,既婚,O型,千葉県,12,095-132-7498,090- 539-1793,ドコモ,ぶっかけ・せき止め派
中井 なつみ,なかい なつみ,nakai_natsumi@example.com,女,53,1966/10/31,既婚,B型,東京都,13,025-530-7091,080-2451-4148,au,左ルー・せき止め派
