名前,ふりがな,アドレス,性別,年齢,誕生日,婚姻,血液型,都道府県,電話番号,携帯,キャリア,カレーの食べ方
庄司 莉央,しょうじ りお,shouji_rio@example.com,女,19,2000/12/29,未婚,O型,東京都,077- 98-7248,080-6814-6243,ドコモ,ぶっかけ・混ぜ混ぜ派
山瀬 恵麻,やませ えま,yamase_ema@example.com,女,78,1941/6/19,既婚,B型,奈良県,025-246-3076,080-7238-4244,ドコモ,右ルー・せき止め派
新井 恵子,あらい けいこ,arai_keiko@example.com,女,63,1956/9/23,既婚,O型,東京都,016-217-1082,090-7146-5538,ドコモ,左ルー・別口派
今井 瑠璃亜,いまい るりあ,imai_ruria@example.com,女,77,1943/1/6,既婚,A型,東京都,082- 89- 199,090-7384-8865,ドコモ,ぶっかけ・混ぜ混ぜ派
伴 法嗣,ばん ほうし,ban_houshi@example.com,男,69,1950/11/20,既婚,A型,東京都,060-182- 241,080-2341-7378,ソフトバンク,手前ルー・せき止め派
鶴岡 新太,つるおか あらた,tsuruoka_arata@example.com,男,80,1939/4/9,既婚,O型,東京都,058-950-1888,080-2653-3828,au,左ルー・せき止め派
小平 季衣,こひら としえ,kohira_toshie@example.com,女,37,1982/7/29,既婚,A型,茨城県,0 1-884-4652,080-  99-1048,ドコモ,ぶっかけ・ルー攻め派
亀山 憲史,かめやま のりひと,kameyama_norihito@example.com,男,69,1951/2/14,既婚,B型,島根県,036-732-4502,080-3153-5675,au,手前ルー・せき止め派
安斎 洋,あんざい よう,annzai_you@example.com,男,37,1982/2/21,既婚,B型,東京都,092-771-2045,080-1225-9684,ドコモ,左ルー・ナン派
松岡 一徳,まつおか いっとく,matsuoka_ittoku@example.com,男,43,1977/2/11,既婚,B型,埼玉県,054-772-8948,080-1234-3343,ドコモ,ぶっかけ・ルー攻め派
大谷 恵望子,おおたに えみこ,ootani_emiko@example.com,女,41,1978/12/20,既婚,O型,新潟県,033-360-4113,080-5719- 283,ドコモ,手前ルー・混ぜ混ぜ派
志田 サダヲ,しだ さだお,shida_sadawo@example.com,男,26,1993/9/28,既婚,O型,栃木県,041-387-6186,090-6264-9941,ドコモ,左ルー・ナン派
青山 光,あおやま ひかる,aoyama_hikaru@example.com,男,44,1975/6/1,既婚,B型,神奈川県,057-931-6964,090-7161- 382,ドコモ,左ルー・せき止め派
磯村 玲那,いそむら れな,isomura_rena@example.com,女,23,1996/9/1,既婚,B型,和歌山県,010-797-5034,090-4716-2394,ソフトバンク,右ルー・せき止め派
根本 杏,ねもと あん,nemoto_ann@example.com,女,23,1996/9/30,既婚,O型,愛知県,084-391- 523,080-1274-6800,au,ぶっかけ・別口派
寺田 しぼり,てらだ しぼり,terada_shibori@example.com,女,55,1965/1/6,既婚,O型,沖縄県,0 1-326- 485,090-4476-9652,ソフトバンク,左ルー・せき止め派
吉川 豊,きっかわ ゆたか,kikkawa_yutaka@example.com,男,69,1950/11/17,既婚,B型,大阪府,070-376-9190,080-5535-9655,ドコモ,ぶっかけ・せき止め派
小沢 剛基,おざわ よしき,ozawa_yoshiki@example.com,男,18,2001/9/25,未婚,O型,山口県,073-613-1198,080-8682-1898,au,右ルー・ルー攻め派
広川 七世,ひろかわ ななせ,hirokawa_nanase@example.com,女,76,1944/1/24,既婚,A型,千葉県,044-930-4769,090-7466-7673,ドコモ,左ルー・ナン派
大滝 真希,おおたき まき,ootaki_maki@example.com,女,32,1987/10/6,既婚,AB型,愛知県,010-309-2783,080-6686-5117,ツーカー,左ルー・混ぜ混ぜ派
北川 染五郎,きたがわ そめごろう,kitagawa_somegorou@example.com,男,79,1940/10/12,既婚,A型,千葉県,020-832-9990,090-1065-3360,ドコモ,奥ルー・別口派
玉井 恵望子,たまい えみこ,tamai_emiko@example.com,女,80,1940/1/26,既婚,B型,神奈川県,031- 16-7810,080-1890-3775,ドコモ,右ルー・せき止め派
塚田 未來,つかだ みらい,tsukada_mirai@example.com,男,75,1944/7/28,既婚,A型,熊本県,091- 79-2419,080-8104-7221,au,奥ルー・混ぜ混ぜ派
矢沢 なぎさ,やざわ なぎさ,yazawa_nagisa@example.com,女,60,1959/7/8,既婚,A型,北海道,067-120-3292,080-4443-5820,au,奥ルー・混ぜ混ぜ派
小宮 隼士,こみや しゅんじ,komiya_shunji@example.com,男,58,1961/8/6,既婚,A型,埼玉県,079- 91-9125,080-5916- 551,au,左ルー・せき止め派
塩見 美幸,しおみ みゆき,shiomi_miyuki@example.com,女,45,1974/8/3,既婚,A型,静岡県,039-621- 549,090- 948-6111,au,左ルー・ルー攻め派
栗山 知世,くりやま ちせ,kuriyama_chise@example.com,女,25,1994/3/21,既婚,A型,北海道,093-817-2437,080-4469-9933,ドコモ,手前ルー・混ぜ混ぜ派
長谷 めぐみ,ながや めぐみ,nagaya_megumi@example.com,女,44,1975/4/27,既婚,A型,大阪府,030- 82-2771,080-8198- 700,au,左ルー・ルー攻め派
小田 しほり,おだ しほり,oda_shihori@example.com,女,46,1973/7/9,既婚,O型,岡山県,031- 99-3866,080-6319-9494,ソフトバンク,左ルー・別口派
横井 陽子,よこい ようこ,yokoi_youko@example.com,女,30,1989/7/21,既婚,O型,愛知県,057-226- 945,090-8513-4179,ドコモ,手前ルー・混ぜ混ぜ派
熊谷 雅之,くまがや まさゆき,kumagaya_masayuki@example.com,男,76,1943/12/5,既婚,O型,岡山県,028-103-2310,090-8190-6281,ドコモ,ぶっかけ・ルー攻め派
田中 和之,たなか かずゆき,tanaka_kazuyuki@example.com,男,46,1973/8/15,既婚,A型,大阪府,0 7-955-7207,080-5633-8009,ドコモ,左ルー・別口派
岡本 達士,おかもと たつひと,okamoto_tatsuhito@example.com,男,38,1981/2/17,既婚,B型,茨城県,030- 21-8740,090-5607-1588,au,ぶっかけ・別口派
富山 慶太,とみやま けいた,tomiyama_keita@example.com,男,73,1946/10/4,既婚,A型,茨城県,081-977-2712,080-8340-2958,ドコモ,ぶっかけ・せき止め派
田淵 麻緒,たぶち まお,tabuchi_mao@example.com,女,59,1960/10/10,既婚,B型,青森県,078- 96-7268,080-  80-5142,au,左ルー・別口派
阪本 洋介,さかもと ようすけ,sakamoto_yousuke@example.com,男,41,1978/4/1,既婚,O型,宮崎県,014-884-4351,090-2937-7191,ドコモ,左ルー・ルー攻め派
六角 茜,ろっかく あかね,rokkaku_akane@example.com,女,27,1992/10/31,未婚,B型,福島県,035-762-8704,080-7488-5501,au,ぶっかけ・ルー攻め派
中林 勝久,なかばやし かつひさ,nakabayashi_katsuhisa@example.com,男,76,1943/5/23,既婚,A型,兵庫県,011- 39- 430,090-7970-7369,ドコモ,左ルー・別口派
高田 一,たかだ はじめ,takada_hajime@example.com,男,55,1964/3/1,既婚,O型,茨城県,094-658-4137,080-  75-3704,ドコモ,奥ルー・ルー攻め派
宇都宮 真悠子,うつのみや まゆこ,utsunomiya_mayuko@example.com,女,72,1947/6/25,既婚,O型,神奈川県,064-132- 254,090-1036-8236,ドコモ,右ルー・ナン派
柳原 明,やなぎはら あきら,yanagihara_akira@example.com,男,46,1973/3/16,既婚,B型,大阪府,040-268-7185,080-3727-6653,ドコモ,別盛り・ルー攻め派
大谷 昴,おおたに すばる,ootani_subaru@example.com,男,46,1973/9/8,既婚,A型,兵庫県,078-821-8566,090-5567-1309,ドコモ,左ルー・せき止め派
仲村 亮,なかむら りょう,nakamura_ryou@example.com,男,66,1953/9/30,既婚,O型,埼玉県,043- 18-1080,090-4890-3650,ドコモ,左ルー・混ぜ混ぜ派
生田 玲那,なまた れな,namata_rena@example.com,女,62,1957/3/27,既婚,O型,岡山県,069-671-1549,080-9282-4215,ドコモ,右ルー・別口派
坂下 育子,さかした いくこ,sakashita_ikuko@example.com,女,39,1981/1/10,既婚,B型,愛知県,069-599-9213,080-1592-7164,ドコモ,奥ルー・ナン派
川原 右京,かわはら うきょう,kawahara_ukyou@example.com,男,26,1993/4/2,未婚,B型,大阪府,038-672-4369,080-1761-8712,ソフトバンク,ぶっかけ・混ぜ混ぜ派
三村 菜摘,みむら なつみ,mimura_natsumi@example.com,女,45,1974/4/25,既婚,A型,高知県,094-339- 360,090-8715- 113,ドコモ,ぶっかけ・せき止め派
藤澤 浩太郎,ふじさわ こうたろう,fujisawa_koutarou@example.com,男,42,1977/5/16,既婚,O型,東京都,012-696-5885,090-6207-1157,ドコモ,ぶっかけ・せき止め派
亀田 綾,かめだ あや,kameda_aya@example.com,女,43,1976/7/6,既婚,O型,栃木県,086-214-3531,080-4820-3019,ドコモ,左ルー・別口派
寺本 ヒロ,てらもと ひろ,teramoto_hiro@example.com,男,36,1983/12/21,既婚,A型,岡山県,031-234-1388,090-7902-8470,ソフトバンク,左ルー・ナン派
玉置 美紀,たまき みき,tamaki_miki@example.com,女,61,1958/4/29,既婚,O型,東京都,036-864-  95,080-8183-5218,ドコモ,右ルー・混ぜ混ぜ派
大森 奈々,おおもり なな,oomori_nana@example.com,女,79,1940/4/7,既婚,B型,岩手県,023- 27-2366,090-6499-9337,ソフトバンク,ぶっかけ・ルー攻め派
小栗 瞳,おぐり ひとみ,oguri_hitomi@example.com,女,55,1964/5/13,既婚,O型,埼玉県,095-858-7234,080-6501-2213,ドコモ,ぶっかけ・混ぜ混ぜ派
小笠原 瑠璃亜,おがさわら るりあ,ogasawara_ruria@example.com,女,77,1942/11/28,既婚,O型,神奈川県,034-212-3218,090-5750-8464,au,奥ルー・せき止め派
寺西 六郎,てらにし ろくろう,teranishi_rokurou@example.com,男,51,1969/1/12,既婚,A型,岐阜県,0 3-552-3016,080-4784-9020,ドコモ,左ルー・ルー攻め派
山形 ひろみ,やまがた ひろみ,yamagata_hiromi@example.com,女,25,1994/8/4,既婚,A型,茨城県,033-873-9319,090-1622- 197,ソフトバンク,左ルー・ナン派
宮内 明,みやうち あきら,miyauchi_akira@example.com,男,46,1973/12/7,既婚,A型,新潟県,084-526-2232,080-7478-6061,au,左ルー・混ぜ混ぜ派
瀬戸 良介,せと りょうすけ,seto_ryousuke@example.com,男,50,1969/10/14,既婚,O型,石川県,022-438-2234,090-9485-1674,ドコモ,ぶっかけ・別口派
平川 和之,ひらかわ かずゆき,hirakawa_kazuyuki@example.com,男,23,1996/7/23,未婚,A型,千葉県,042-578-1026,080-6119-9168,ドコモ,右ルー・混ぜ混ぜ派
白井 南朋,しらい なお,shirai_nao@example.com,女,43,1976/8/7,既婚,A型,佐賀県,0  -532-3521,080-8393-9617,ソフトバンク,右ルー・別口派
深沢 ジョージ,ふかざわ じょーじ,fukazawa_george@example.com,男,51,1968/5/15,既婚,O型,岩手県,050-967-6262,080-1407-6041,au,左ルー・せき止め派
山元 陽介,やまもと ようすけ,yamamoto_yousuke@example.com,男,47,1972/11/25,既婚,A型,東京都,087-920-1591,080-2489-2971,au,ぶっかけ・別口派
前田 美菜,まえだ みな,maeda_mina@example.com,女,31,1988/5/26,既婚,B型,愛知県,099-237-6931,090-6014-3859,ソフトバンク,左ルー・ルー攻め派
沢田 恵麻,さわだ えま,sawada_ema@example.com,女,57,1962/7/20,既婚,B型,神奈川県,041-280-2930,090- 747-7640,ドコモ,右ルー・せき止め派
波多野 ヒカル,はたの ひかる,hatano_hikaru@example.com,女,78,1941/11/27,既婚,AB型,山梨県,032-546-7480,090-9627-7993,ドコモ,右ルー・別口派
菅井 美紀,すがい みき,sugai_miki@example.com,女,35,1984/12/28,既婚,A型,愛知県,012-658-2287,090-9240-8662,ドコモ,左ルー・別口派
鹿手袋 美嘉,しかてぶくろ みか,shikatebukuro_mika@example.com,女,72,1947/2/23,既婚,O型,京都府,091-658-2511,080-3154-6438,ドコモ,ぶっかけ・別口派
河原 倫子,かわはら のりこ,kawahara_noriko@example.com,女,64,1955/2/20,既婚,AB型,群馬県,0 9-770- 872,090-8704-6012,ドコモ,奥ルー・せき止め派
井田 美希,いだ みき,ida_miki@example.com,女,73,1946/6/9,既婚,A型,埼玉県,094-762-2939,080- 140-1231,ソフトバンク,ぶっかけ・ルー攻め派
寺田 美佐子,てらだ みさこ,terada_misako@example.com,女,51,1968/3/3,既婚,AB型,埼玉県,091-695- 843,090-7068- 941,ドコモ,左ルー・別口派
川端 基祐,かわばた きすけ,kawabata_kisuke@example.com,男,54,1965/6/14,既婚,B型,愛媛県,031- 91- 882,090-7951- 672,ドコモ,ぶっかけ・ナン派
滝沢 あおい,たきざわ あおい,takizawa_aoi@example.com,女,80,1939/11/18,既婚,O型,熊本県,058-958-9893,090-9805-2304,ドコモ,左ルー・混ぜ混ぜ派
原 陽介,はら ようすけ,hara_yousuke@example.com,男,76,1943/8/4,既婚,B型,石川県,093-508-7897,080-5091-1152,ドコモ,左ルー・別口派
仲村 守,なかむら まもる,nakamura_mamoru@example.com,男,20,1999/12/24,既婚,A型,福岡県,046-181-7757,080-5480-6402,ソフトバンク,別盛り・ナン派
三谷 はるみ,みたに はるみ,mitani_harumi@example.com,女,47,1972/5/5,既婚,O型,愛知県,037-274-2170,090-8749-3113,au,奥ルー・ルー攻め派
松本 明慶,まつもと あきよし,matsumoto_akiyoshi@example.com,男,40,1980/1/14,既婚,A型,兵庫県,050-458-6491,080-9794-4789,ドコモ,ぶっかけ・せき止め派
筧 美帆,かけい みほ,kakei_miho@example.com,女,72,1947/11/19,既婚,O型,神奈川県,099-264-7293,080-7770-3819,ドコモ,手前ルー・別口派
倉田 翔太,くらた しょうた,kurata_shouta@example.com,男,61,1958/3/14,既婚,A型,三重県,0 8-545-6652,080-9076-5851,ソフトバンク,ぶっかけ・ルー攻め派
岡本 早紀,おかもと さき,okamoto_saki@example.com,女,20,1999/11/28,未婚,O型,福岡県,011-776-3439,080-5939-8500,ドコモ,ぶっかけ・混ぜ混ぜ派
高岡 未來,たかおか みらい,takaoka_mirai@example.com,男,29,1991/1/18,未婚,AB型,大阪府,078-872-6682,090-4855-7738,ソフトバンク,ぶっかけ・ナン派
富田 杏,とみた あん,tomita_ann@example.com,女,51,1968/6/18,既婚,O型,愛知県,081-469-8759,080- 926- 342,au,左ルー・混ぜ混ぜ派
石倉 悟志,いしくら さとし,ishikura_satoshi@example.com,男,18,2001/4/8,未婚,A型,長崎県,083-781-8732,090-7435-2280,ドコモ,左ルー・ルー攻め派
三枝 友香,さんし ともか,sannshi_tomoka@example.com,女,51,1968/3/11,既婚,B型,東京都,0 1-993-5691,080-7293-9734,ドコモ,右ルー・せき止め派
有村 里奈,ありむら りな,arimura_rina@example.com,女,53,1966/11/1,既婚,B型,大阪府,055-382-6731,090-9026-7033,ツーカー,左ルー・せき止め派
宮内 莉緒,みやうち りお,miyauchi_rio@example.com,女,79,1940/12/21,既婚,O型,大阪府,043-676- 622,090-3446-7831,ソフトバンク,ぶっかけ・別口派
村瀬 文世,むらせ ふみよ,murase_fumiyo@example.com,女,55,1965/1/21,既婚,A型,滋賀県,027-685-4952,080-4929-4629,au,ぶっかけ・せき止め派
今村 和之,いまむら かずゆき,imamura_kazuyuki@example.com,男,38,1981/5/23,既婚,A型,東京都,056-340-3993,080-9942-  39,au,左ルー・混ぜ混ぜ派
大森 はじめ,おおもり はじめ,oomori_hajime@example.com,男,62,1957/4/18,既婚,O型,兵庫県,061-518-2935,090- 397- 833,ドコモ,右ルー・せき止め派
島津 はじめ,しまづ はじめ,shimadu_hajime@example.com,男,44,1976/1/31,既婚,AB型,東京都,098-980-9942,080-7644-4389,ドコモ,手前ルー・混ぜ混ぜ派
村井 めぐみ,むらい めぐみ,murai_megumi@example.com,女,32,1987/2/21,既婚,A型,群馬県,054-858-8295,090- 638-7614,au,別盛り・混ぜ混ぜ派
松岡 剛基,まつおか よしき,matsuoka_yoshiki@example.com,男,26,1993/2/16,既婚,O型,大分県,049-773-8236,080-5351-9494,ソフトバンク,手前ルー・せき止め派
上原 夏希,うえはら なつき,uehara_natsuki@example.com,女,43,1977/1/15,既婚,A型,静岡県,012-763- 643,090-4162-6987,ドコモ,左ルー・ルー攻め派
高瀬 結衣,たかせ ゆい,takase_yui@example.com,女,59,1960/3/24,既婚,A型,埼玉県,044- 92-7366,090-7765-4715,ドコモ,手前ルー・別口派
野呂 幸平,のろ こうへい,noro_kouhei@example.com,男,57,1962/7/7,既婚,A型,北海道,082-710-2744,090-3102-7279,ドコモ,左ルー・せき止め派
北島 早織,きたじま さおり,kitajima_saori@example.com,女,68,1951/11/14,既婚,O型,千葉県,026-196-6021,080-8889-4740,au,左ルー・混ぜ混ぜ派
岡田 満,おかだ みつる,okada_mitsuru@example.com,男,31,1988/3/18,既婚,B型,神奈川県,058-451-1723,090-1454-5668,ソフトバンク,右ルー・ルー攻め派
松山 莉沙,まつやま りさ,matsuyama_risa@example.com,女,73,1946/7/12,既婚,A型,兵庫県,020-233-4133,080-4961-4193,ドコモ,右ルー・混ぜ混ぜ派
渡部 惇,わたべ じゅん,watabe_jun@example.com,男,32,1988/1/1,未婚,O型,岡山県,0 9-309-2160,090-3415-9246,ドコモ,左ルー・せき止め派
宇多田 瞬,うただ しゅん,utada_shun@example.com,男,54,1965/5/15,既婚,B型,長野県,0 7-112- 207,090-6824-1281,au,奥ルー・せき止め派
石塚 恵梨香,いしづか えりか,ishiduka_erika@example.com,女,19,2000/6/18,既婚,O型,長野県,083-406-4587,080-  96-2509,ソフトバンク,左ルー・ルー攻め派
谷村 翔太,たにむら しょうた,tanimura_shouta@example.com,男,64,1955/5/20,既婚,O型,宮城県,0 6-385-5043,080-1070-6017,ドコモ,左ルー・混ぜ混ぜ派
片桐 美菜,かたぎり みな,katagiri_mina@example.com,女,78,1941/8/23,既婚,A型,愛媛県,030- 90-7545,090-9594-1845,ドコモ,奥ルー・せき止め派
武内 薫,たけうち かおる,takeuchi_kaoru@example.com,男,70,1949/4/15,既婚,B型,埼玉県,092-551-9064,080-1635-5119,ドコモ,奥ルー・ルー攻め派
今泉 杏,いまいずみ あん,imaizumi_ann@example.com,女,50,1969/6/15,未婚,O型,東京都,041- 80-4325,080-7823-  27,ドコモ,別盛り・ルー攻め派
秋山 砂羽,あきやま さわ,akiyama_sawa@example.com,女,77,1942/6/29,既婚,B型,長崎県,046-900-1512,080-3980-3284,au,左ルー・ルー攻め派
菊地 慶太,きくち けいた,kikuchi_keita@example.com,男,20,1999/7/30,未婚,B型,神奈川県,025-411-2090,080-3550-1113,ドコモ,右ルー・別口派
大高 丈史,おおだか たけし,oodaka_takeshi@example.com,男,55,1964/6/24,既婚,AB型,福岡県,096-345-8946,090-3457- 469,ソフトバンク,左ルー・混ぜ混ぜ派
