名前,ふりがな,アドレス,性別,年齢,誕生日,婚姻,血液型,都道府県,電話番号,携帯,キャリア,カレーの食べ方
服部 ジローラモ,はっとり じろーらも,hattori_girolamo@example.com,男,81,1938/9/24,既婚,O型,和歌山県,018-179-3461,090-3490-5431,ドコモ,右ルー・せき止め派
河本 礼子,こうもと れいこ,koumoto_reiko@example.com,女,21,1998/9/3,未婚,A型,徳島県,048-517- 301,080-5074- 876,ソフトバンク,ぶっかけ・せき止め派
松澤 砂羽,まつざわ さわ,matsuzawa_sawa@example.com,女,22,1997/7/15,未婚,O型,京都府,025-808-8742,090-9758-6379,ドコモ,左ルー・ナン派
湊 美菜,みなと みな,minato_mina@example.com,女,10,2009/6/1,未婚,B型,群馬県,052-965-3240,090-7308-1104,ドコモ,左ルー・混ぜ混ぜ派
矢田 恵梨香,やだ えりか,yada_erika@example.com,女,48,1971/9/16,既婚,A型,埼玉県,044-455-8776,080-6410-5730,au,左ルー・ルー攻め派
平松 ヒカル,ひらまつ ひかる,hiramatsu_hikaru@example.com,女,58,1961/4/20,既婚,B型,東京都,026-314-6332,090-9427-3356,ドコモ,右ルー・別口派
柄本 寛治,えもと かんじ,emoto_kanji@example.com,男,25,1994/10/21,既婚,O型,神奈川県,022-328-1923,080-1697- 715,ドコモ,ぶっかけ・混ぜ混ぜ派
小笠原 広司,おがさわら こうじ,ogasawara_kouji@example.com,男,78,1941/11/3,既婚,A型,群馬県,024-648-7725,090-3538-5035,ドコモ,右ルー・ナン派
栗田 有海,くりた あみ,kurita_ami@example.com,女,50,1969/9/23,既婚,A型,兵庫県,046-280-2891,080-2916- 445,ドコモ,左ルー・混ぜ混ぜ派
柳沢 みき,やなぎさわ みき,yanagisawa_miki@example.com,女,41,1978/2/21,既婚,B型,静岡県,042-346-9724,090-8735-6925,ソフトバンク,ぶっかけ・せき止め派
石沢 しぼり,いしざわ しぼり,ishizawa_shibori@example.com,女,66,1953/2/26,既婚,A型,岐阜県,082-482-5130,090-7274- 326,ドコモ,右ルー・ルー攻め派
藤澤 綾女,ふじさわ あやめ,fujisawa_ayame@example.com,女,55,1964/9/24,既婚,O型,兵庫県,049-792-7294,090-6249-9471,au,右ルー・別口派
哀川 郁恵,あいかわ いくえ,aikawa_ikue@example.com,女,13,2007/1/14,未婚,B型,新潟県,045- 49-1719,080-3609-1659,ドコモ,手前ルー・ルー攻め派
塩谷 憲史,しおたに のりひと,shiotani_norihito@example.com,男,38,1981/8/27,未婚,A型,栃木県,025-982-8456,090-1409-6504,ドコモ,ぶっかけ・ルー攻め派
風間 倫子,かざま のりこ,kazama_noriko@example.com,女,40,1979/3/14,既婚,AB型,群馬県,040-823- 359,080- 249-8754,ソフトバンク,左ルー・ルー攻め派
坂東 まなみ,ばんとう まなみ,banntou_manami@example.com,女,72,1947/6/16,既婚,A型,神奈川県,068- 68-9485,090-2611-4374,ドコモ,ぶっかけ・せき止め派
畠山 莉沙,はたやま りさ,hatayama_risa@example.com,女,69,1950/12/15,既婚,A型,福岡県,073-239-4517,080-2173-6958,ソフトバンク,奥ルー・混ぜ混ぜ派
内海 洋介,うちみ ようすけ,uchimi_yousuke@example.com,男,50,1969/4/16,既婚,O型,福岡県,080-289-6657,090- 903-4901,ドコモ,左ルー・せき止め派
越智 里奈,おち りな,ochi_rina@example.com,女,18,2001/6/3,未婚,B型,神奈川県,069-975-7088,090-8468-1231,ドコモ,奥ルー・ルー攻め派
久保 路子,くぼ みちこ,kubo_michiko@example.com,女,12,2008/1/2,未婚,A型,北海道,071- 44-7823,080-6799- 539,ドコモ,左ルー・ルー攻め派
玉城 竜次,たまき りゅうじ,tamaki_ryuuji@example.com,男,85,1934/3/9,既婚,A型,栃木県,012-614-2739,080-3342-7311,ドコモ,ぶっかけ・ルー攻め派
柴田 明宏,しばた あきひろ,shibata_akihiro@example.com,男,16,2003/9/20,未婚,O型,神奈川県,031-774-8370,090-4444-4369,ドコモ,左ルー・せき止め派
保坂 麗奈,ほさか れな,hosaka_rena@example.com,女,66,1953/9/20,既婚,A型,富山県,074-680-9783,090-7473-3439,ドコモ,右ルー・混ぜ混ぜ派
林 早紀,はやし さき,hayashi_saki@example.com,女,19,2000/12/19,未婚,A型,神奈川県,011-155-6136,080-7124-9838,ドコモ,左ルー・混ぜ混ぜ派
井川 研二,いがわ けんじ,igawa_kenji@example.com,男,70,1949/8/16,既婚,A型,京都府,069-354-1227,090- 593-8132,ドコモ,ぶっかけ・混ぜ混ぜ派
徳重 季衣,とくしげ としえ,tokushige_toshie@example.com,女,40,1979/8/29,未婚,A型,大阪府,0 9-194-7406,090-8196-8866,ドコモ,右ルー・混ぜ混ぜ派
上野 裕次郎,うえの ゆうじろう,ueno_yuujirou@example.com,男,53,1966/3/2,既婚,A型,宮城県,099-  3-4729,090- 405- 308,au,ぶっかけ・別口派
原 美智子,はら みちこ,hara_michiko@example.com,女,20,1999/10/5,未婚,A型,新潟県,091-686-9908,080- 330-3684,ドコモ,別盛り・せき止め派
柴咲 恵麻,しばさき えま,shibasaki_ema@example.com,女,48,1971/12/20,既婚,A型,愛知県,054-156-4259,080-9969-1566,ドコモ,左ルー・ルー攻め派
本上 英嗣,ほんじょう ひでつぐ,honjo_hidetsugu@example.com,男,63,1956/4/19,既婚,O型,埼玉県,0  -416-1751,090-3140-6057,ソフトバンク,手前ルー・せき止め派
福田 翔,ふくだ しょう,fukuda_shou@example.com,男,67,1952/11/16,既婚,A型,神奈川県,091-626- 979,080-8051-2112,ドコモ,奥ルー・せき止め派
細田 みき,ほそだ みき,hosoda_miki@example.com,女,62,1958/2/1,既婚,O型,福島県,057-241-3909,080-5357-6805,ツーカー,右ルー・せき止め派
藤木 明,ふじき あきら,fujiki_akira@example.com,男,68,1952/1/25,既婚,O型,滋賀県,054-740-9781,090-1063-1264,ソフトバンク,左ルー・せき止め派
田辺 ヒロ,たなべ ひろ,tanabe_hiro@example.com,男,26,1993/11/11,既婚,O型,大阪府,052-230-1999,080-1790-9771,ドコモ,ぶっかけ・せき止め派
古谷 フミヤ,ふるたに ふみや,furutani_fumiya@example.com,男,78,1941/9/21,既婚,A型,長野県,028-  4-1686,090- 346-4210,ドコモ,右ルー・ルー攻め派
宮川 真吾,みやかわ しんご,miyakawa_shingo@example.com,男,57,1962/10/4,既婚,AB型,福岡県,064-585-4879,080-8693-9397,au,左ルー・せき止め派
武藤 ヒロ,むとう ひろ,mutou_hiro@example.com,男,62,1957/11/25,既婚,A型,東京都,035-231- 779,090-1993-5196,ドコモ,左ルー・ルー攻め派
佐久間 新太,さくま あらた,sakuma_arata@example.com,男,11,2009/1/29,未婚,O型,静岡県,094-860-6796,080-8455-2061,ドコモ,左ルー・別口派
玉田 建,たまだ けん,tamada_ken@example.com,男,78,1941/3/27,既婚,A型,埼玉県,097-828-2793,090-1690-2319,ドコモ,奥ルー・ルー攻め派
原 しほり,はら しほり,hara_shihori@example.com,女,73,1947/1/26,既婚,O型,愛知県,084-320-3473,080-5779-7469,au,左ルー・せき止め派
小沼 米蔵,こぬま よねぞう,konuma_yonezou@example.com,男,33,1986/9/3,既婚,B型,兵庫県,0 1-906-3382,090-2645-1386,ソフトバンク,左ルー・ルー攻め派
上野 怜奈,うえの れいな,ueno_reina@example.com,女,15,2004/5/21,未婚,O型,神奈川県,033-651-4170,090-2488-1512,ソフトバンク,手前ルー・混ぜ混ぜ派
服部 勇一,はっとり ゆういち,hattori_yuuichi@example.com,男,59,1960/9/23,既婚,B型,長野県,085-480-7917,080- 187-8262,au,左ルー・混ぜ混ぜ派
清野 禄郎,きよの ろくろう,kiyono_rokurou@example.com,男,25,1994/5/18,既婚,A型,大分県,058-407-4602,090-7083-3776,ドコモ,左ルー・混ぜ混ぜ派
長浜 えみ,ながはま えみ,nagahama_emi@example.com,女,38,1981/5/28,既婚,O型,静岡県,084-351-1083,080- 356-7275,ドコモ,右ルー・混ぜ混ぜ派
川田 優,かわた ゆう,kawata_yuu@example.com,女,53,1966/12/1,既婚,B型,愛知県,055-575-1227,080-9079-9694,au,奥ルー・別口派
有村 ひとみ,ありむら ひとみ,arimura_hitomi@example.com,女,52,1967/10/27,既婚,B型,新潟県,0 7-378-3334,080-4467-1134,ドコモ,ぶっかけ・別口派
野際 あい,のぎわ あい,nogiwa_ai@example.com,女,50,1969/10/13,既婚,B型,東京都,045-850- 342,090- 939-8048,ソフトバンク,ぶっかけ・混ぜ混ぜ派
梅村 沙耶,うめむら さや,umemura_saya@example.com,女,22,1997/4/19,既婚,A型,東京都,063-655-4032,080-8090-6245,au,右ルー・ルー攻め派
柴田 憲史,しばた のりひと,shibata_norihito@example.com,男,65,1955/2/5,既婚,O型,新潟県,062-935-  28,090-9641-8217,au,右ルー・せき止め派
石倉 薫,いしくら かおる,ishikura_kaoru@example.com,女,77,1942/7/1,既婚,A型,東京都,0 4-469-9865,090-9512-6051,ソフトバンク,手前ルー・混ぜ混ぜ派
山上 敏和,やまがみ としかず,yamagami_toshikazu@example.com,男,65,1954/4/15,既婚,O型,熊本県,038-888-4802,080-6426-8199,ソフトバンク,左ルー・別口派
村井 美和子,むらい みわこ,murai_miwako@example.com,女,74,1945/7/29,既婚,B型,愛知県,010- 70-1084,090-5542-7687,ドコモ,奥ルー・ルー攻め派
城咲 照生,しろさき てるお,shirosaki_teruo@example.com,男,22,1997/3/2,未婚,A型,福岡県,082-884-8877,080-9555-3729,au,奥ルー・ルー攻め派
久野 礼子,ひさの れいこ,hisano_reiko@example.com,女,33,1987/1/29,既婚,A型,埼玉県,017-915-9163,090-4335- 486,ドコモ,奥ルー・せき止め派
桜井 幸平,さくらい こうへい,sakurai_kouhei@example.com,男,39,1980/5/1,既婚,A型,千葉県,050-399-7925,090-  24-4493,ドコモ,左ルー・せき止め派
杉原 あき,すぎはら あき,sugihara_aki@example.com,女,27,1992/4/14,未婚,AB型,大阪府,081-274-1083,090-4778-7000,ドコモ,左ルー・せき止め派
池田 聖陽,いけだ まさあき,ikeda_masaaki@example.com,男,29,1990/6/17,未婚,O型,鳥取県,097-348-3816,080-5367- 329,au,奥ルー・混ぜ混ぜ派
木下 きみまろ,きのした きみまろ,kinoshita_kimimaro@example.com,男,85,1934/12/14,既婚,B型,長野県,034-789-7791,080-3091-5972,ソフトバンク,ぶっかけ・ルー攻め派
田村 雅彦,たむら まさひこ,tamura_masahiko@example.com,男,84,1936/1/23,既婚,A型,大阪府,019-196-1912,090-6931-7058,ドコモ,右ルー・混ぜ混ぜ派
武井 里穂,たけい りほ,takei_riho@example.com,女,30,1990/2/4,既婚,O型,愛知県,069-780-3513,090- 397-3496,au,右ルー・ナン派
明石家 一,あかしや はじめ,akashiya_hajime@example.com,男,81,1938/9/22,既婚,AB型,兵庫県,054-142-8323,080-4099-7480,ドコモ,別盛り・ルー攻め派
奥田 隆太,おくだ りゅうた,okuda_ryuuta@example.com,男,55,1964/5/9,既婚,A型,茨城県,074-627-1307,090-7101-8203,ドコモ,奥ルー・ルー攻め派
永山 宏,ながやま ひろし,nagayama_hiroshi@example.com,男,52,1967/6/1,既婚,O型,和歌山県,012-824-3340,080-7408-7086,ソフトバンク,左ルー・混ぜ混ぜ派
寺西 れいな,てらにし れいな,teranishi_reina@example.com,女,69,1950/6/3,既婚,A型,千葉県,058- 26-8313,080-8893-1250,ドコモ,左ルー・せき止め派
栗原 崇史,くりはら たかし,kurihara_takashi@example.com,男,48,1971/10/1,既婚,B型,埼玉県,053-658-2056,090- 956-4927,ソフトバンク,左ルー・混ぜ混ぜ派
植田 ヒロ,うえた ひろ,ueta_hiro@example.com,男,57,1962/10/11,既婚,A型,新潟県,048-845-2614,080-7216-9626,ドコモ,左ルー・ルー攻め派
杉本 信吾,すぎもと しんご,sugimoto_shingo@example.com,男,74,1945/3/24,既婚,B型,神奈川県,079-938-9569,080-6864-2173,ドコモ,ぶっかけ・ルー攻め派
都築 詩織,つづき しおり,tsuduki_shiori@example.com,女,75,1944/10/8,既婚,A型,神奈川県,095-731- 417,090-7034-6314,ドコモ,左ルー・混ぜ混ぜ派
下田 豊,しもだ ゆたか,shimoda_yutaka@example.com,男,56,1963/3/27,既婚,A型,東京都,091-648-4679,080-7552-3824,ドコモ,ぶっかけ・混ぜ混ぜ派
笹原 聡,ささはら さとし,sasahara_satoshi@example.com,男,14,2006/1/4,未婚,B型,東京都,085-523-9630,080-4149-7071,ソフトバンク,ぶっかけ・せき止め派
野沢 人志,のざわ ひとし,nozawa_hitoshi@example.com,男,85,1934/9/9,既婚,A型,愛知県,085-470-4810,080-5214-2779,ドコモ,奥ルー・ルー攻め派
長尾 きみまろ,ながお きみまろ,nagao_kimimaro@example.com,男,56,1963/10/12,既婚,AB型,岐阜県,081-121-7973,080-6676-3913,ドコモ,ぶっかけ・別口派
久米 誠一,くめ せいいち,kume_seiichi@example.com,男,48,1971/9/28,未婚,O型,大阪府,065-397-4262,080-4355-8950,ソフトバンク,ぶっかけ・せき止め派
柳 春樹,やなぎ はるき,yanagi_haruki@example.com,女,48,1971/11/23,既婚,O型,茨城県,073-239-9899,080-3077- 262,au,別盛り・混ぜ混ぜ派
土居 大五郎,どい だいごろう,doi_daigorou@example.com,男,81,1938/12/22,既婚,AB型,山口県,069-461-9152,080-2012-6160,ドコモ,ぶっかけ・せき止め派
岸本 勝久,きしもと かつひさ,kishimoto_katsuhisa@example.com,男,72,1947/9/30,既婚,B型,栃木県,057-943-9542,080-5400-8705,au,別盛り・ナン派
窪田 勝久,くぼた かつひさ,kubota_katsuhisa@example.com,男,38,1981/6/11,既婚,A型,京都府,0 7-708-3345,080-8960- 306,au,右ルー・ルー攻め派
菅澤 勇介,すがさわ ゆうすけ,sugasawa_yuusuke@example.com,男,47,1972/3/8,既婚,B型,大阪府,040-458-7545,090-8384- 793,ドコモ,奥ルー・ナン派
児島 みゆき,こじま みゆき,kojima_miyuki1@example.com,女,16,2004/1/5,未婚,B型,埼玉県,062-507-9742,080-2611-5374,ドコモ,左ルー・別口派
高見 陽介,たかみ ようすけ,takami_yousuke@example.com,男,81,1938/6/11,既婚,A型,大阪府,011-718-6816,080-3523-6906,ドコモ,ぶっかけ・混ぜ混ぜ派
児島 守,こじま まもる,kojima_mamoru@example.com,男,35,1984/11/11,未婚,A型,宮城県,083-779-9426,090-6168-2509,ドコモ,右ルー・混ぜ混ぜ派
岩崎 宏,いわさき ひろし,iwasaki_hiroshi@example.com,男,34,1985/3/25,未婚,A型,神奈川県,0  -386-6804,080-4544-1864,ドコモ,右ルー・ナン派
田沢 芳正,たざわ よしまさ,tazawa_yoshimasa@example.com,男,72,1947/6/9,既婚,A型,北海道,037-454-3590,090-1865-8391,au,左ルー・せき止め派
今 まみ,こん まみ,kon_mami@example.com,女,82,1937/12/28,既婚,O型,石川県,093-429-6059,080-8124- 115,ドコモ,ぶっかけ・別口派
大路 裕次郎,おおじ ゆうじろう,ooji_yuujirou@example.com,男,46,1973/10/29,既婚,A型,兵庫県,0 9-393-1315,090-8835-7398,ツーカー,奥ルー・混ぜ混ぜ派
原田 淳,はらだ あつし,harada_atsushi@example.com,男,82,1937/2/20,既婚,A型,群馬県,067-902-7357,090- 474-6426,ソフトバンク,奥ルー・ルー攻め派
松山 誠一,まつやま せいいち,matsuyama_seiichi@example.com,男,42,1977/6/24,未婚,B型,栃木県,051-881-4454,090-3414-7718,ソフトバンク,左ルー・ルー攻め派
三枝 雅功,さんし まさとし,sannshi_masatoshi@example.com,男,30,1990/2/7,既婚,A型,福岡県,053-958-5862,090-1366- 565,ドコモ,左ルー・ルー攻め派
寺島 哲平,てらじま てっぺい,terajima_teppei@example.com,男,52,1967/5/7,既婚,O型,山梨県,057-118-2509,090-6778-3318,au,ぶっかけ・せき止め派
中沢 雅彦,なかざわ まさひこ,nakazawa_masahiko@example.com,男,43,1977/2/14,既婚,A型,石川県,074-612-8707,090-2186- 952,ドコモ,奥ルー・混ぜ混ぜ派
下山 優,しもやま ゆう,shimoyama_yuu@example.com,女,17,2002/11/26,未婚,B型,山形県,072-528-5014,080-8095-6467,ソフトバンク,ぶっかけ・ルー攻め派
大久保 達士,おおくぼ たつひと,ookubo_tatsuhito@example.com,男,76,1943/9/15,既婚,A型,埼玉県,010-649-6814,080-1131-6876,ドコモ,手前ルー・せき止め派
渡部 裕司,わたべ ゆうじ,watabe_yuuji@example.com,男,46,1973/6/12,既婚,B型,新潟県,089-170-7438,090-8336-4216,au,ぶっかけ・せき止め派
佐野 茜,さの あかね,sano_akane@example.com,女,63,1956/6/13,既婚,A型,東京都,089-798-2625,080-3307-7600,ドコモ,ぶっかけ・別口派
樋口 小百合,ひぐち さゆり,higuchi_sayuri@example.com,女,81,1938/5/25,既婚,B型,栃木県,031-586-9905,080-6364-6994,ドコモ,左ルー・せき止め派
相田 奈月,あいだ なつき,aida_natsuki@example.com,女,81,1938/3/13,既婚,A型,岐阜県,076-729-2816,090-7298-8335,ソフトバンク,奥ルー・ナン派
沢井 瑠璃亜,さわい るりあ,sawai_ruria@example.com,女,75,1944/10/13,既婚,A型,兵庫県,073-384-4280,090-8829-2411,au,ぶっかけ・ルー攻め派
桑田 大,くわた まさる,kuwata_masaru@example.com,男,34,1985/10/2,既婚,B型,福井県,080-964-6005,080-5122-3645,au,別盛り・せき止め派
安井 恵梨香,やすい えりか,yasui_erika@example.com,女,27,1992/12/8,既婚,A型,大阪府,042-402-4776,090-9572-3116,ツーカー,左ルー・せき止め派
細谷 礼子,ほそや れいこ,hosoya_reiko@example.com,女,41,1978/6/12,既婚,A型,岐阜県,078-193-5311,090-2144-6417,ドコモ,左ルー・せき止め派
尾崎 めぐみ,おざき めぐみ,ozaki_megumi@example.com,女,66,1953/5/6,既婚,A型,神奈川県,074-744-7935,090-7311-1568,ドコモ,奥ルー・せき止め派
坂田 涼,さかた りょう,sakata_ryou@example.com,女,23,1997/1/25,既婚,A型,神奈川県,081-201-7852,080-8766-1613,ドコモ,ぶっかけ・別口派
今川 夏希,いまがわ なつき,imagawa_natsuki@example.com,女,22,1997/4/17,未婚,A型,沖縄県,030-852-2764,090-9434-3838,ソフトバンク,右ルー・せき止め派
尾形 ひろ子,おがた ひろこ,ogata_hiroko@example.com,女,37,1982/10/3,既婚,B型,埼玉県,038-650-3476,080-1719-1366,au,左ルー・混ぜ混ぜ派
小川 隆太,おがわ りゅうた,ogawa_ryuuta@example.com,男,22,1997/4/6,未婚,O型,奈良県,099-327-1035,080-7616-5798,au,別盛り・ルー攻め派
荻野 莉央,おぎの りお,ogino_rio@example.com,女,78,1941/4/21,既婚,A型,島根県,077- 84-8171,090-7396- 164,ドコモ,右ルー・ルー攻め派
金谷 さとみ,かなや さとみ,kanaya_satomi@example.com,女,79,1940/7/30,既婚,O型,埼玉県,0 6-507-8883,080-5848-3315,au,手前ルー・せき止め派
関 フミヤ,せき ふみや,seki_fumiya@example.com,男,44,1975/5/9,既婚,AB型,愛知県,017-447-1952,080-9718-2974,au,奥ルー・混ぜ混ぜ派
谷村 英嗣,たにむら ひでつぐ,tanimura_hidetsugu@example.com,男,69,1950/3/6,既婚,O型,埼玉県,030-132-7443,090-8447-8076,ドコモ,左ルー・混ぜ混ぜ派
斉藤 莉緒,さいとう りお,saitou_rio@example.com,女,15,2004/8/28,未婚,A型,鹿児島県,095-565-7533,080-7426-6392,ドコモ,ぶっかけ・せき止め派
川添 洋介,かわぞえ ようすけ,kawazoe_yousuke@example.com,男,55,1964/2/19,既婚,AB型,群馬県,071-623-7676,090- 469-8584,au,ぶっかけ・別口派
大石 優,おおいし ゆう,ooishi_yuu@example.com,女,21,1998/6/25,未婚,B型,奈良県,063-711-6188,080-2416-1339,ドコモ,左ルー・混ぜ混ぜ派
三橋 愛,みはし あい,mihashi_ai@example.com,女,63,1956/6/26,既婚,B型,宮城県,039-428-7948,080-6702-6457,ドコモ,ぶっかけ・ルー攻め派
松田 大樹,まつだ ひろき,matsuda_hiroki@example.com,男,41,1978/10/4,既婚,A型,福岡県,012- 23-1508,080-5975-7549,au,奥ルー・せき止め派
黒岩 有海,くろいわ あみ,kuroiwa_ami@example.com,女,26,1993/3/11,既婚,B型,大阪府,088-365-2916,090-7820-9093,ドコモ,奥ルー・ルー攻め派
北沢 真吾,きたざわ しんご,kitazawa_shingo@example.com,男,24,1995/8/11,未婚,A型,宮城県,013-444-5748,090-3703- 800,ドコモ,左ルー・せき止め派
曽我 理紗,そが りさ,soga_risa@example.com,女,63,1956/3/7,既婚,A型,東京都,068-249-8844,090-6589-1276,ソフトバンク,右ルー・別口派
